2.869750,3.099186,2.839781,2.963438
2.959315,3.029436,2.907606,2.968239
2.966390,2.966390,2.810206,2.832807
2.831425,2.954971,2.826377,2.910824
2.911581,2.926230,2.804009,2.831897
2.832807,2.872511,2.040953,2.502491
2.506859,2.564514,2.211509,2.474989
2.406712,2.621054,2.387085,2.517666
2.517666,2.585671,2.302802,2.385911
2.385186,2.796062,2.375493,2.633950
2.641341,2.783103,2.511185,2.581727
2.582778,2.590281,2.315688,2.400663
2.403186,2.432490,2.328019,2.395638
2.397332,2.578296,2.364347,2.501635
2.503889,2.512983,2.383594,2.420969
2.418439,2.441715,2.326710,2.346419
2.347429,2.435803,2.313549,2.369978
2.369956,2.391871,2.265415,2.282299
2.283438,2.289793,1.989418,2.063989
2.079772,2.224538,1.923280,1.987028
1.984266,2.266182,1.970946,2.266182
2.259691,2.344563,2.183468,2.330941
2.329006,2.344986,2.077399,2.281269
2.279395,2.458108,2.241186,2.301541
2.302443,2.302443,2.153531,2.208495
2.212038,2.271561,2.133972,2.135905
2.133217,2.172157,2.030042,2.039139
2.039015,2.144665,2.023027,2.065688
2.066589,2.134077,2.053454,2.114452
2.116249,2.274002,2.096256,2.258127
2.254531,2.320416,2.195434,2.251459
2.249317,2.307575,2.223882,2.252873
2.251848,2.253159,2.155800,2.189235
2.189178,2.256643,2.181561,2.233124
2.233087,2.250027,2.116876,2.212155
2.210038,2.369656,2.153612,2.276995
2.277983,2.309177,2.223705,2.237176
2.234527,2.297457,2.221574,2.266615
2.267288,2.276212,2.174145,2.197214
2.191907,2.249355,2.122026,2.173389
2.173525,2.173575,2.075584,2.119190
2.119377,2.196761,2.089565,2.189053
2.187248,2.221947,2.158867,2.170363
2.172978,2.240569,2.139135,2.214651
2.215554,2.247748,2.171732,2.177713
2.177637,2.187675,2.096560,2.156963
2.157833,2.169890,2.109943,2.128263
2.128213,2.155572,2.096606,2.112962
2.111303,2.206168,2.095114,2.185950
2.189640,2.296410,2.134710,2.136591
2.137513,2.208740,2.133419,2.154199
2.156006,2.174763,2.134751,2.166815
2.166816,2.169683,2.095419,2.123435
2.119801,2.176252,2.115651,2.144066
2.143916,2.199589,2.128982,2.138777
2.137858,2.154367,1.833420,1.913237
1.912248,2.054593,1.910781,1.988219
1.987413,2.044696,1.982498,2.012187
2.012207,2.016995,1.932392,1.957422
1.955862,2.022236,1.923054,1.965026
1.964962,2.015316,1.917960,1.950002
1.949818,1.996540,1.934827,1.971377
1.971404,2.144626,1.950845,2.063701
2.064559,2.100966,1.956403,1.984882
1.984745,2.018975,1.963668,1.986206
1.985306,2.039940,1.946815,2.006609
2.006963,2.036167,1.978159,2.021872
2.021946,2.138435,2.011635,2.124419
2.126183,2.375914,2.107469,2.273483
2.268922,2.359522,1.944602,2.101802
2.101769,2.152531,2.063564,2.085524
2.082225,2.102994,1.994117,2.045766
2.046191,2.079476,2.023658,2.053104
2.052102,2.070042,2.012070,2.040853
2.041248,2.094682,2.014811,2.015587
2.021147,2.021147,1.786474,1.877235
1.877808,1.893318,1.805297,1.875540
1.876270,1.908513,1.710864,1.788331
1.787225,1.894425,1.756623,1.864793
1.864640,1.955915,1.860625,1.921736
1.922869,1.922869,1.836332,1.839763
1.838291,1.839811,1.759830,1.776555
1.778283,1.817630,1.745127,1.750503
1.751246,1.752388,1.594203,1.686423
1.667261,1.748867,1.620885,1.651345
1.676388,1.685440,1.502046,1.528420
1.531957,1.585799,1.531957,1.546118
1.546672,1.598509,1.433618,1.592855
1.594501,1.636148,1.559918,1.602508
1.602102,1.628403,1.549843,1.554903
1.552819,1.622388,1.534562,1.547713
1.547706,1.756863,1.521645,1.715366
1.720719,1.728509,1.532564,1.556555
1.558386,1.558615,1.205124,1.420706
1.420609,1.436573,1.290549,1.378105
1.379189,1.438994,1.257868,1.425393
1.423189,1.477548,1.370552,1.381941
1.380939,1.423688,1.343517,1.397074
1.393739,1.407885,1.290440,1.290440
1.291753,1.331853,1.210024,1.211689
1.213407,1.362157,1.195143,1.354248
1.352221,1.411960,1.321837,1.347282
1.347895,1.357773,1.202574,1.225348
1.224460,1.269876,1.201422,1.222835
1.266263,1.329269,1.207161,1.311847
1.311818,1.331010,1.236784,1.240534
1.240744,1.258695,1.187881,1.219892
1.220517,1.267222,1.201947,1.242534
1.242394,1.309385,1.241757,1.244661
1.243437,1.260699,1.202716,1.238240
1.236419,1.289425,1.229115,1.280859
1.280337,1.366798,1.278285,1.328041
1.328843,1.489489,1.311121,1.474691
1.473877,1.490347,1.383480,1.392367
1.394186,1.460733,1.385219,1.453495
1.453510,1.468327,1.410834,1.456045
1.455838,1.590728,1.452088,1.512913
1.515092,1.537979,1.381352,1.402264
1.401962,1.436113,1.328470,1.330814
1.332747,1.376474,1.300004,1.360415
1.360470,1.379202,1.287365,1.310209
